Artikelnummer;Artikelbez. D.;Artikelbez. E.;Bestellnr.;Artikelkat.Code;Produktgrp.Code;Status;Artikel-Land;Preiseinheit;Mengeneinheit;Anzahl VE;WaehrungsKZ;HEK-Monacor;UVP-Monacor;HEK-Monacor-Aen.;UVP-Monacor-Aen.;Brand-Bezeichnung;EAN-Code;Katalogseite;Katalogseite Neu;Gewicht per;Brutto-Gewicht;Netto-Gewicht;Zollcode;Analogartikel;Anz.Umverpackung;Anz.Exportkarton;EuroKZ;
013-U14K;Fenstergriff fuer JA-152NM;Window Handle for JA-152NM;0047770;2;2;JABLOTRON;CZ;0;STUECK;1;;23;59;0;0;ORG.MAKERS BRAND;8595614119634;WWW;;1;0,145;0,143;85318070000;;1;0;Nein;
801C3;Anschlusskabel;Connection Cable;0236120;8;35;JTS;TW;0;STUECK;1;USD;7;14,49;0;0;JTS;4007754224108;J16;;1;0,019;0,013;85444290900;;1;0;Nein;
801CR;Hirose Anschlusskabel;Hirose Connection Cable;0236530;8;35;JTS;CN;0;STUECK;1;USD;9,3;18,9;0;0;JTS;4007754249262;J16;;1;0,021;0,015;85444290900;;1;30;Nein;
801CS;Anschlusskabel;Connection Cable;0236110;8;35;JTS;TW;0;STUECK;1;USD;8,4;16,99;0;0;JTS;4007754224092;J16;;1;0,022;0,016;85444290900;;1;0;Nein;
850CH-2;Ladegeraet;Charger;0259370;8;29;JTS-NEUHEIT;TW;0;STUECK;1;USD;99;174,9;0;0;JTS;4007754261097;;;1;0,685;0,535;85044055900;;1;0;Nein;
A-303/IT;Batteriehalter;Battery Holder;0030060;4;5;STANDARD;TW;0;STUECK;1;USD;0,85;2,49;0;0;MONACOR;4007754000061;C160;;1;0,007;0,007;85369095990;;200;2.400;Nein;
A-304/IT;Batteriehalter;Battery Holder;0030080;4;5;STANDARD;TW;0;STUECK;1;USD;1,4;4,29;0;0;MONACOR;4007754000085;C160;;1;0,014;0,014;85369095990;;140;1.400;Nein;
A-305/IT;Batteriehalter;Battery Holder;0030100;4;5;STANDARD;TW;0;STUECK;1;USD;1,7;5,29;0;0;MONACOR;4007754000108;C160;;1;0,017;0,017;85369095990;;100;1.000;Nein;
A-307/IT;Batteriehalter;Battery Holder;0030120;4;5;STANDARD;TW;0;STUECK;1;USD;0,75;2,19;0;0;MONACOR;4007754000122;C160;;1;0,006;0,006;85369095990;;200;3.000;Nein;
AAC-100IEC;Netzkabel;AC Power Cord;0059711;4;1;STANDARD;CN;0;STUECK;1;;4,8;7,79;0;0;MONACOR;4007754226157;C131;;1;0,156;0,156;85444290900;;25;100;Nein;
AAC-115P;PowerCon-Kabel;PowerCon Cable;0110560;4;1;STANDARD;CN;0;STUECK;1;;10,3;16,49;0;0;MONACOR;4007754182118;C131;;1;0,315;0,303;85444290900;;1;25;Nein;
AAC-140J;Schuko-Kupplung;AC Jack;0346810;4;7;STANDARD;DE;0;STUECK;1;;3,8;5,99;0;0;MONACOR;4007754172751;C132;;1;0,119;0,119;85366990990;;10;80;Ja;
AAC-140P;Schuko-Stecker;AC Plug;0346820;4;7;STANDARD;DE;0;STUECK;1;;2,45;3,79;0;0;MONACOR;4011721022604;C132;;1;0,072;0,072;85366990990;;20;200;Ja;
AAC-150J;Euro-Einbaubuchse;Chassis Mounting Plug;0340010;4;6;STANDARD;TW;0;STUECK;1;USD;0,7;1,69;0;0;MONACOR;4007754000214;C132;;1;0,011;0,011;85366990990;;100;1.000;Nein;
AAC-150J/IEC;Einbaubuchse;Chassis Mounting Jack;0349080;4;6;STANDARD;CN;0;STUECK;1;;2,9;6,99;0;0;MONACOR;4007754250848;C132;;1;0,023;0,023;85366990990;;0;0;Nein;
